Combination,Model,Bacuri,Açaí,Pracaxi,Cacau,Tucumã,Cupuaçu,Pequi,Manga,Andiroba,Murumuru,Buriti,Jambu,Urucum,Ucuuba,b1,b2,b3,b12,b13,b23,R²
Bacuri-Açaí,Linear,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3411,-3.464,-1.527,0,0,0,0.78
Bacuri-Pracaxi,Linear,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.86,0.41,0.01,0,0,0,0.33
Cacau-Tucumã,Linear,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.43,0.27,0.14,0,0,0,0.06
Cupuaçu-Açaí,Linear,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.7,1.16,-0.26,0,0,0,0.36
Cupuaçu-Cacau,Linear,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.22,-0.28,0.19,0,0,0,0.75
Cupuaçu-Pequi,Quadratic,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.51,0.83,-1.84,-3.92,7.41,5.15,0.58
Cupuaçu-Tucumã,Linear,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.45,0.34,0.03,0,0,0,0.42
Manga-Andiroba,Linear,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.19,0.86,0.32,0,0,0,0.34
Manga-Pracaxi,Linear,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.19,0.91,0.32,0,0,0,0.08
Murumuru-Açaí,Quadratic,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.53,2.69,2.22,-1.85,-4.92,-10.91,0.6
Murumuru-Buriti,Quadratic,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.1,-0.17,2.67,0.73,-9.44,-3.23,0.68
Murumuru-Cupuaçu,Linear,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.16,0.66,0.14,0,0,0,0.28
Murumuru-Jambu,Linear,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.14,0.53,0.22,0,0,0,0.1
Tucumã-Tucumã,Quadratic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.64,0.92,1.76,0.2,-6.87,-4.86,0.88
Tucumã-Urucum,Linear,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.32,0.38,0.1,0,0,0,0.1
Ucuuba-Andiroba,Linear,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.2,1.33,-0.2,0,0,0,0.64
Ucuuba-Buriti,Quadratic,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.56,0.94,1.57,-7.72,-8.96,-2.51,0.86
