Combination,Model,Type,FP,esfa,eufa,FA,Bacuri,Açaí,Pracaxi,Cacau,Tucumã,Cupuaçu,Pequi,Manga,Andiroba,Murumuru,Buriti,Jambu,Urucum,Ucuuba,b1,b2,b3,b12,b13,b23,R²
Bacuri-Açaí,Linear,butter-oil,35-4,75-28,25-72,C16-C18:1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3411,-3.464,-1.527,0,0,0,0.78
Bacuri-Pracaxi,Linear,butter-oil,35-18.5,75-35,25-65,C16-C18:1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.86,0.41,0.01,0,0,0,0.33
Cacau-Tucumã,Linear,butter-oil,35-30,73-27,27-73,C16-C18:1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.43,0.27,0.14,0,0,0,0.06
Cupuaçu-Açaí,Linear,butter-oil,27-4,55-28,45-72,C18:1-C18:1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.7,1.16,-0.26,0,0,0,0.36
Cupuaçu-Cacau,Linear,butter-butter,27-35,55-35,45-65,C16-C18:1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.22,-0.28,0.19,0,0,0,0.75
Cupuaçu-Pequi,Quadratic,butter-oil,27-21,55-42,45-58,C18:1-C18:1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-0.51,0.83,-1.84,-3.92,7.41,5.15,0.58
Cupuaçu-Tucumã,Linear,butter-oil,27-30,55-27,45-73,C18:1-C18:1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.45,0.34,0.03,0,0,0,0.42
Manga-Andiroba,Linear,butter-oil,35-22,50-40,50-60,C18:1-C18:1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.19,0.86,0.32,0,0,0,0.34
Manga-Pracaxi,Linear,butter-oil,35-18,50-35,50-65,C18:1-C18:1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.19,0.91,0.32,0,0,0,0.08
Murumuru-Açaí,Quadratic,butter-oil,33-4,90-28,10-72,C12-C18:1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.53,2.69,2.22,-1.85,-4.92,-10.91,0.6
Murumuru-Buriti,Quadratic,butter-oil,33-26,90-22,10-78,C12-C18:1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.1,-0.17,2.67,0.73,-9.44,-3.23,0.68
Murumuru-Cupuaçu,Linear,butter-butter,33-27,90-55,10-45,C12-C18:1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.16,0.66,0.14,0,0,0,0.28
Murumuru-Jambu,Linear,butter-oil,33-23,90-18,10-82,C12-C18:2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.14,0.53,0.22,0,0,0,0.1
Tucumã-Tucumã,Quadratic,butter-butter,20-20,27-27,73-73,C18:1-C18:1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.64,0.92,1.76,0.2,-6.87,-4.86,0.88
Tucumã-Urucum,Linear,butter-oil,20-0,27-14,73-86,C18:1-C18:2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.32,0.38,0.1,0,0,0,0.1
Ucuuba-Andiroba,Linear,butter-oil,53-22,100-40,0-60,C14-C18:1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.2,1.33,-0.2,0,0,0,0.64
Ucuuba-Buriti,Quadratic,butter-oil,53-26,100-22,0-78,C14-C18:1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.56,0.94,1.57,-7.72,-8.96,-2.51,0.86
