Lipid,b1,b2,b3,b12,b13,b23,,
Bacuri,0.15,-4.37,-3.39,-1.28,7.89,7.07,,
Açaí,-0.9,0.72,-1.02,-0.49,4.64,-0.06,,
Pracaxi,-2.89,3.02,-0.11,2.06,5.57,2.08,,
Cacau,-0.93,-0.67,-1.27,-0.30,6.13,3.22,,
Tucumã,-1.7,-0.05,-1.43,-0.30,6.13,3.22,,
Cupuaçu,-1.46,-0.56,-2.08,-0.10,7.61,6.50,,
Pequi,-2.39,0.42,-2.95,-4.31,12.79,6.73,,
Manga,-0.01,-2.29,-2.45,-3.84,6.97,4.93,,
Andiroba,-3.4,1.39,-0.73,4.61,6.49,4.21,,
Murumuru,-1.44,0.22,-0.62,-0.49,4.64,-0.06,,
Buriti,0.45,-0.58,0.41,-0.55,-1.55,3.84,,
Jambu,-1.76,-0.67,-2.35,-0.01,8.36,8.14,,
Urucum,-1.32,-0.54,-1.66,-0.20,6.87,4.86,,
Ucuuba,0.51,-0.24,-2.34,-6.39,6.05,2.80,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
