Lipid,type,FP,UFA,FA,b1,b2,b3,b12,b13,b23
Bacuri,Butter,35,25,C16,0.15,-4.37,-3.39,-1.28,7.89,7.07
Açaí,Oil,15,30,C18:1,-0.9,0.72,-1.02,-0.49,4.64,-0.06
Pracaxi,Oil,18.5,35,C18:1,-2.89,3.02,-0.11,2.06,5.57,2.08
Cacau,Butter,35,27.3,C16,-0.93,-0.67,-1.27,-0.3,6.13,3.22
Tucumã,Butter,30,3,C12,-1.7,-0.05,-1.43,-0.3,6.13,3.22
Cupuaçu,Butter,27,45,C18:1,-1.46,-0.56,-2.08,-0.1,7.61,6.5
Pequi,Oil,21,58,C18:1,-2.39,0.42,-2.95,-4.31,12.79,6.73
Manga,Butter,35,25,C18:1,-0.01,-2.29,-2.45,-3.84,6.97,4.93
Andiroba,Oil,22,60,C18:1,-3.4,1.39,-0.73,4.61,6.49,4.21
Murumuru,Butter,32.5,10,C12,-1.44,0.22,-0.62,-0.49,4.64,-0.06
Buriti,Oil,26.5,78,C18:1,0.45,-0.58,0.41,-0.55,-1.55,3.84
Jambu,Oil,21,58,C18:2,-1.76,-0.67,-2.35,-0.01,8.36,8.14
Urucum,Oil,0,86,C18:2,-1.32,-0.54,-1.66,-0.2,6.87,4.86
Ucuuba,Butter,53,0,C14,0.51,-0.24,-2.34,-6.39,6.05,2.8
